======================================================================
FEATURE EXTRACTION SUMMARY
Generated: 2026-06-12 03:05:20
Total Features: 729
======================================================================


──────────────────────────────────────────────────
  GROUP: BODY
──────────────────────────────────────────────────
  body_temperature_intercept                         : 0.000000
  body_temperature_iqr                               : 0.000000
  body_temperature_is_fever                          : 0
  body_temperature_is_high_fever                     : 0
  body_temperature_is_hypothermia                    : 1
  body_temperature_max                               : 0.000000
  body_temperature_mean                              : 0.000000
  body_temperature_median                            : 0.000000
  body_temperature_min                               : 0.000000
  body_temperature_p10                               : 0.000000
  body_temperature_p25                               : 0.000000
  body_temperature_p5                                : 0.000000
  body_temperature_p75                               : 0.000000
  body_temperature_p90                               : 0.000000
  body_temperature_p95                               : 0.000000
  body_temperature_range                             : 0.000000
  body_temperature_slope                             : 0.000000
  body_temperature_slope_per_sec                     : 0.000000
  body_temperature_stability_max_std                 : 0.000000
  body_temperature_stability_mean_std                : 0.000000
  body_temperature_std                               : 0.000000
  body_temperature_trend_diff                        : 0.000000
  body_temperature_trend_direction                   : 0

──────────────────────────────────────────────────
  GROUP: C2
──────────────────────────────────────────────────
  c2_cv_rr                                           : 0.111518
  c2_energy                                          : 2119.671671
  c2_global_ecg_r_peak_indices_max                   : 31723.000000
  c2_global_ecg_r_peak_indices_mean                  : 16275.203390
  c2_global_ecg_r_peak_indices_min                   : 160.000000
  c2_global_ecg_r_peak_indices_std                   : 9301.753923
  c2_global_heart_rate_max                           : 82.872928
  c2_global_heart_rate_mean                          : 56.391255
  c2_global_heart_rate_min                           : 44.117647
  c2_global_heart_rate_std                           : 7.172303
  c2_global_max_heart_rate                           : 82.872928
  c2_global_mean_heart_rate                          : 56.391255
  c2_global_mean_rr_interval                         : 1079.076923
  c2_global_min_heart_rate                           : 44.117647
  c2_global_nn_xx                                    : 117.000000
  c2_global_pnn_xx                                   : 100.000000
  c2_global_root_mean_square_of_successive_differences : 116.223922
  c2_global_sdnn                                     : 120.336150
  c2_global_std_heart_rate                           : 7.172303
  c2_iqr                                             : 0.052161
  c2_iqr_rr                                          : 144.000000
  c2_kurtosis                                        : 14.190387
  c2_mav                                             : 0.112947
  c2_max                                             : 1.777746
  c2_max_hr                                          : 82.872928
  c2_mean                                            : -0.000261
  c2_mean_hr                                         : 56.391255
  c2_mean_hr_filtered                                : 56.391255
  c2_mean_rr                                         : 1079.076923
  c2_meandist                                        : 139.028387
  c2_median                                          : 0.013626
  c2_median_hr                                       : 54.744526
  c2_median_rr                                       : 1096.000000
  c2_min                                             : -1.660651
  c2_min_hr                                          : 44.117647
  c2_n_r_peaks_filtered                              : 118
  c2_n_r_peaks_raw                                   : 118
  c2_p25                                             : 0.005647
  c2_p5                                              : -0.411897
  c2_p75                                             : 0.057808
  c2_p95                                             : 0.270547
  c2_peaks_rejected_pct                              : 0.000000
  c2_pnn20                                           : 87.068966
  c2_pnn50                                           : 69.827586
  c2_r_amp_max                                       : 0.615018
  c2_r_amp_mean                                      : 0.205089
  c2_r_amp_median                                    : 0.195117
  c2_r_amp_min                                       : 0.019650
  c2_r_amp_std                                       : 0.063707
  c2_range                                           : 3.438397
  c2_range_rr                                        : 636.000000
  c2_rms                                             : 0.257274
  c2_rmssd                                           : 116.223922
  c2_sdnn                                            : 120.336150
  c2_skewness                                        : -3.018721
  c2_std                                             : 0.257274
  c2_std_hr                                          : 7.172303
  c2_std_hr_filtered                                 : 7.172303
  c2_std_rr                                          : 120.336150
  c2_var                                             : 0.066190
  c2_zcr                                             : 0.018299

──────────────────────────────────────────────────
  GROUP: C3
──────────────────────────────────────────────────
  c3_cv_rr                                           : 0.112886
  c3_energy                                          : 1498.670507
  c3_global_ecg_r_peak_indices_max                   : 31726.000000
  c3_global_ecg_r_peak_indices_mean                  : 16280.830508
  c3_global_ecg_r_peak_indices_min                   : 184.000000
  c3_global_ecg_r_peak_indices_std                   : 9300.829575
  c3_global_heart_rate_max                           : 82.417582
  c3_global_heart_rate_mean                          : 56.439446
  c3_global_heart_rate_min                           : 43.859649
  c3_global_heart_rate_std                           : 7.196036
  c3_global_max_heart_rate                           : 82.417582
  c3_global_mean_heart_rate                          : 56.439446
  c3_global_mean_rr_interval                         : 1078.358974
  c3_global_min_heart_rate                           : 43.859649
  c3_global_nn_xx                                    : 117.000000
  c3_global_pnn_xx                                   : 100.000000
  c3_global_root_mean_square_of_successive_differences : 125.592664
  c3_global_sdnn                                     : 121.731276
  c3_global_std_heart_rate                           : 7.196036
  c3_iqr                                             : 0.106758
  c3_iqr_rr                                          : 144.000000
  c3_kurtosis                                        : 4.734801
  c3_mav                                             : 0.141518
  c3_max                                             : 1.240430
  c3_max_hr                                          : 82.417582
  c3_mean                                            : -0.000075
  c3_mean_hr                                         : 56.439446
  c3_mean_hr_filtered                                : 56.439446
  c3_mean_rr                                         : 1078.358974
  c3_meandist                                        : 149.575575
  c3_median                                          : -0.058661
  c3_median_hr                                       : 54.744526
  c3_median_rr                                       : 1096.000000
  c3_min                                             : -1.448207
  c3_min_hr                                          : 43.859649
  c3_n_r_peaks_filtered                              : 118
  c3_n_r_peaks_raw                                   : 118
  c3_p25                                             : -0.077279
  c3_p5                                              : -0.235310
  c3_p75                                             : 0.029479
  c3_p95                                             : 0.488431
  c3_peaks_rejected_pct                              : 0.000000
  c3_pnn20                                           : 87.931034
  c3_pnn50                                           : 68.103448
  c3_r_amp_max                                       : 0.836465
  c3_r_amp_mean                                      : 0.057201
  c3_r_amp_median                                    : 0.035644
  c3_r_amp_min                                       : -0.231189
  c3_r_amp_std                                       : 0.096500
  c3_range                                           : 2.688637
  c3_range_rr                                        : 640.000000
  c3_rms                                             : 0.216329
  c3_rmssd                                           : 125.592664
  c3_sdnn                                            : 121.731276
  c3_skewness                                        : 0.465043
  c3_std                                             : 0.216329
  c3_std_hr                                          : 7.196036
  c3_std_hr_filtered                                 : 7.196036
  c3_std_rr                                          : 121.731276
  c3_var                                             : 0.046798
  c3_zcr                                             : 0.015301

──────────────────────────────────────────────────
  GROUP: C4
──────────────────────────────────────────────────
  c4_cv_rr                                           : 0.110272
  c4_energy                                          : 1962.444327
  c4_global_ecg_r_peak_indices_max                   : 31732.000000
  c4_global_ecg_r_peak_indices_mean                  : 16283.593220
  c4_global_ecg_r_peak_indices_min                   : 169.000000
  c4_global_ecg_r_peak_indices_std                   : 9302.017335
  c4_global_heart_rate_max                           : 82.417582
  c4_global_heart_rate_mean                          : 56.379408
  c4_global_heart_rate_min                           : 46.583851
  c4_global_heart_rate_std                           : 7.136768
  c4_global_max_heart_rate                           : 82.417582
  c4_global_mean_heart_rate                          : 56.379408
  c4_global_mean_rr_interval                         : 1079.076923
  c4_global_min_heart_rate                           : 46.583851
  c4_global_nn_xx                                    : 117.000000
  c4_global_pnn_xx                                   : 100.000000
  c4_global_root_mean_square_of_successive_differences : 113.586668
  c4_global_sdnn                                     : 118.992218
  c4_global_std_heart_rate                           : 7.136768
  c4_iqr                                             : 0.156812
  c4_iqr_rr                                          : 140.000000
  c4_kurtosis                                        : 4.782916
  c4_mav                                             : 0.173572
  c4_max                                             : 1.503809
  c4_max_hr                                          : 82.417582
  c4_mean                                            : 0.000134
  c4_mean_hr                                         : 56.379408
  c4_mean_hr_filtered                                : 56.379408
  c4_mean_rr                                         : 1079.076923
  c4_meandist                                        : 135.814525
  c4_median                                          : -0.095613
  c4_median_hr                                       : 54.744526
  c4_median_rr                                       : 1096.000000
  c4_min                                             : -1.471107
  c4_min_hr                                          : 46.583851
  c4_n_r_peaks_filtered                              : 118
  c4_n_r_peaks_raw                                   : 118
  c4_p25                                             : -0.125708
  c4_p5                                              : -0.191206
  c4_p75                                             : 0.031104
  c4_p95                                             : 0.542601
  c4_peaks_rejected_pct                              : 0.000000
  c4_pnn20                                           : 87.931034
  c4_pnn50                                           : 70.689655
  c4_r_amp_max                                       : 1.503809
  c4_r_amp_mean                                      : 1.010255
  c4_r_amp_median                                    : 0.991712
  c4_r_amp_min                                       : 0.776013
  c4_r_amp_std                                       : 0.084114
  c4_range                                           : 2.974915
  c4_range_rr                                        : 560.000000
  c4_rms                                             : 0.247549
  c4_rmssd                                           : 113.586668
  c4_sdnn                                            : 118.992218
  c4_skewness                                        : 1.553798
  c4_std                                             : 0.247549
  c4_std_hr                                          : 7.136768
  c4_std_hr_filtered                                 : 7.136768
  c4_std_rr                                          : 118.992218
  c4_var                                             : 0.061280
  c4_zcr                                             : 0.014801

──────────────────────────────────────────────────
  GROUP: C5
──────────────────────────────────────────────────
  c5_cv_rr                                           : 0.110244
  c5_energy                                          : 3336.335758
  c5_global_ecg_r_peak_indices_max                   : 31732.000000
  c5_global_ecg_r_peak_indices_mean                  : 16283.940678
  c5_global_ecg_r_peak_indices_min                   : 170.000000
  c5_global_ecg_r_peak_indices_std                   : 9302.033367
  c5_global_heart_rate_max                           : 81.967213
  c5_global_heart_rate_mean                          : 56.380361
  c5_global_heart_rate_min                           : 46.728972
  c5_global_heart_rate_std                           : 7.130078
  c5_global_max_heart_rate                           : 81.967213
  c5_global_mean_heart_rate                          : 56.380361
  c5_global_mean_rr_interval                         : 1079.042735
  c5_global_min_heart_rate                           : 46.728972
  c5_global_nn_xx                                    : 117.000000
  c5_global_pnn_xx                                   : 100.000000
  c5_global_root_mean_square_of_successive_differences : 113.795340
  c5_global_sdnn                                     : 118.958040
  c5_global_std_heart_rate                           : 7.130078
  c5_iqr                                             : 0.160007
  c5_iqr_rr                                          : 144.000000
  c5_kurtosis                                        : 8.410195
  c5_mav                                             : 0.209180
  c5_max                                             : 2.211517
  c5_max_hr                                          : 81.967213
  c5_mean                                            : 0.000252
  c5_mean_hr                                         : 56.380361
  c5_mean_hr_filtered                                : 56.380361
  c5_mean_rr                                         : 1079.042735
  c5_meandist                                        : 136.056651
  c5_median                                          : -0.115886
  c5_median_hr                                       : 54.744526
  c5_median_rr                                       : 1096.000000
  c5_min                                             : -1.691060
  c5_min_hr                                          : 46.728972
  c5_n_r_peaks_filtered                              : 118
  c5_n_r_peaks_raw                                   : 118
  c5_p25                                             : -0.146916
  c5_p5                                              : -0.223912
  c5_p75                                             : 0.013092
  c5_p95                                             : 0.614184
  c5_peaks_rejected_pct                              : 0.000000
  c5_pnn20                                           : 85.344828
  c5_pnn50                                           : 68.965517
  c5_r_amp_max                                       : 2.211517
  c5_r_amp_mean                                      : 1.589353
  c5_r_amp_median                                    : 1.577493
  c5_r_amp_min                                       : 1.260298
  c5_r_amp_std                                       : 0.087974
  c5_range                                           : 3.902577
  c5_range_rr                                        : 552.000000
  c5_rms                                             : 0.322773
  c5_rmssd                                           : 113.795340
  c5_sdnn                                            : 118.958040
  c5_skewness                                        : 2.272383
  c5_std                                             : 0.322773
  c5_std_hr                                          : 7.130078
  c5_std_hr_filtered                                 : 7.130078
  c5_std_rr                                          : 118.958040
  c5_var                                             : 0.104182
  c5_zcr                                             : 0.014833

──────────────────────────────────────────────────
  GROUP: CHEST
──────────────────────────────────────────────────
  chest_acc_corr_0                                   : nan
  chest_acc_corr_1                                   : nan
  chest_acc_mag_energy                               : 0.000000
  chest_acc_mag_iqr                                  : 0.000000
  chest_acc_mag_kurtosis                             : -3.000000
  chest_acc_mag_mav                                  : 0.000000
  chest_acc_mag_max                                  : 0.000000
  chest_acc_mag_mean                                 : 0.000000
  chest_acc_mag_median                               : 0.000000
  chest_acc_mag_min                                  : 0.000000
  chest_acc_mag_p25                                  : 0.000000
  chest_acc_mag_p5                                   : 0.000000
  chest_acc_mag_p75                                  : 0.000000
  chest_acc_mag_p95                                  : 0.000000
  chest_acc_mag_range                                : 0.000000
  chest_acc_mag_rms                                  : 0.000000
  chest_acc_mag_skewness                             : 0.000000
  chest_acc_mag_std                                  : 0.000000
  chest_acc_mag_var                                  : 0.000000
  chest_acc_mag_zcr                                  : 0.000000
  chest_acc_x_energy                                 : 0.000000
  chest_acc_x_iqr                                    : 0.000000
  chest_acc_x_kurtosis                               : -3.000000
  chest_acc_x_mav                                    : 0.000000
  chest_acc_x_max                                    : 0.000000
  chest_acc_x_mean                                   : 0.000000
  chest_acc_x_median                                 : 0.000000
  chest_acc_x_min                                    : 0.000000
  chest_acc_x_p25                                    : 0.000000
  chest_acc_x_p5                                     : 0.000000
  chest_acc_x_p75                                    : 0.000000
  chest_acc_x_p95                                    : 0.000000
  chest_acc_x_range                                  : 0.000000
  chest_acc_x_rms                                    : 0.000000
  chest_acc_x_skewness                               : 0.000000
  chest_acc_x_std                                    : 0.000000
  chest_acc_x_var                                    : 0.000000
  chest_acc_x_zcr                                    : 0.000000
  chest_acc_y_energy                                 : 0.000000
  chest_acc_y_iqr                                    : 0.000000
  chest_acc_y_kurtosis                               : -3.000000
  chest_acc_y_mav                                    : 0.000000
  chest_acc_y_max                                    : 0.000000
  chest_acc_y_mean                                   : 0.000000
  chest_acc_y_median                                 : 0.000000
  chest_acc_y_min                                    : 0.000000
  chest_acc_y_p25                                    : 0.000000
  chest_acc_y_p5                                     : 0.000000
  chest_acc_y_p75                                    : 0.000000
  chest_acc_y_p95                                    : 0.000000
  chest_acc_y_range                                  : 0.000000
  chest_acc_y_rms                                    : 0.000000
  chest_acc_y_skewness                               : 0.000000
  chest_acc_y_std                                    : 0.000000
  chest_acc_y_var                                    : 0.000000
  chest_acc_y_zcr                                    : 0.000000
  chest_acc_z_energy                                 : 0.000000
  chest_acc_z_iqr                                    : 0.000000
  chest_acc_z_kurtosis                               : -3.000000
  chest_acc_z_mav                                    : 0.000000
  chest_acc_z_max                                    : 0.000000
  chest_acc_z_mean                                   : 0.000000
  chest_acc_z_median                                 : 0.000000
  chest_acc_z_min                                    : 0.000000
  chest_acc_z_p25                                    : 0.000000
  chest_acc_z_p5                                     : 0.000000
  chest_acc_z_p75                                    : 0.000000
  chest_acc_z_p95                                    : 0.000000
  chest_acc_z_range                                  : 0.000000
  chest_acc_z_rms                                    : 0.000000
  chest_acc_z_skewness                               : 0.000000
  chest_acc_z_std                                    : 0.000000
  chest_acc_z_var                                    : 0.000000
  chest_acc_z_zcr                                    : 0.000000
