======================================================================
FEATURE EXTRACTION SUMMARY
Generated: 2026-04-27 09:44:28
Total Features: 220
======================================================================


──────────────────────────────────────────────────
  GROUP: REF
──────────────────────────────────────────────────
  ref_lead1_cv_rr                                    : 0.201521
  ref_lead1_energy                                   : 0.002312
  ref_lead1_global_ecg_r_peak_indices_max            : 42782.000000
  ref_lead1_global_ecg_r_peak_indices_mean           : 21155.166667
  ref_lead1_global_ecg_r_peak_indices_min            : 197.000000
  ref_lead1_global_ecg_r_peak_indices_std            : 12242.635285
  ref_lead1_global_heart_rate_max                    : 76.142132
  ref_lead1_global_heart_rate_mean                   : 2.236356
  ref_lead1_global_heart_rate_min                    : 0.350615
  ref_lead1_global_heart_rate_std                    : 6.969339
  ref_lead1_global_max_heart_rate                    : 76.142132
  ref_lead1_global_mean_heart_rate                   : 0.709047
  ref_lead1_global_mean_rr_interval                  : 21155.166667
  ref_lead1_global_min_heart_rate                    : 0.350615
  ref_lead1_global_nn_xx                             : 156.000000
  ref_lead1_global_pnn_xx                            : 250.000000
  ref_lead1_global_root_mean_square_of_successive_differences : 24442.242029
  ref_lead1_global_sdnn                              : 12242.635285
  ref_lead1_global_std_heart_rate                    : 6.969339
  ref_lead1_iqr                                      : 0.000120
  ref_lead1_iqr_rr                                   : 64.000000
  ref_lead1_kurtosis                                 : 46.137140
  ref_lead1_mav                                      : 0.000126
  ref_lead1_max                                      : 0.003082
  ref_lead1_max_hr                                   : 107.913669
  ref_lead1_mean                                     : -0.000001
  ref_lead1_mean_hr                                  : 56.338605
  ref_lead1_mean_hr_filtered                         : nan
  ref_lead1_mean_rr                                  : 1098.967742
  ref_lead1_meandist                                 : 200.781023
  ref_lead1_median                                   : -0.000044
  ref_lead1_median_hr                                : 55.970149
  ref_lead1_median_rr                                : 1072.000000
  ref_lead1_min                                      : -0.003370
  ref_lead1_min_hr                                   : 24.509804
  ref_lead1_p25                                      : -0.000105
  ref_lead1_p5                                       : -0.000145
  ref_lead1_p75                                      : 0.000014
  ref_lead1_p95                                      : 0.000467
  ref_lead1_pnn20                                    : 66.233766
  ref_lead1_pnn50                                    : 34.415584
  ref_lead1_r_amp_max                                : 0.003082
  ref_lead1_r_amp_mean                               : 0.000480
  ref_lead1_r_amp_median                             : 0.000560
  ref_lead1_r_amp_min                                : 0.000019
  ref_lead1_r_amp_std                                : 0.000306
  ref_lead1_range                                    : 0.006452
  ref_lead1_range_rr                                 : 1892.000000
  ref_lead1_rms                                      : 0.000231
  ref_lead1_rmssd                                    : 299.380312
  ref_lead1_sdnn                                     : 221.464842
  ref_lead1_skewness                                 : 1.042423
  ref_lead1_std                                      : 0.000231
  ref_lead1_std_hr                                   : 10.090612
  ref_lead1_std_hr_filtered                          : nan
  ref_lead1_std_rr                                   : 221.464842
  ref_lead1_var                                      : 0.000000
  ref_lead1_zcr                                      : 0.043075
  ref_lead2_cv_rr                                    : 0.289753
  ref_lead2_energy                                   : 0.016199
  ref_lead2_global_ecg_r_peak_indices_max            : 42780.000000
  ref_lead2_global_ecg_r_peak_indices_mean           : 20708.203947
  ref_lead2_global_ecg_r_peak_indices_min            : 197.000000
