======================================================================
FEATURE EXTRACTION SUMMARY
Generated: 2026-05-25 11:23:19
Total Features: 168
======================================================================


──────────────────────────────────────────────────
  GROUP: REF
──────────────────────────────────────────────────
  ref_lead1_cv_rr                                    : 0.078834
  ref_lead1_energy                                   : 1342.298576
  ref_lead1_global_ecg_r_peak_indices_max            : 32650.000000
  ref_lead1_global_ecg_r_peak_indices_mean           : 16063.804348
  ref_lead1_global_ecg_r_peak_indices_min            : 129.000000
  ref_lead1_global_ecg_r_peak_indices_std            : 9515.901259
  ref_lead1_global_heart_rate_max                    : 99.337748
  ref_lead1_global_heart_rate_mean                   : 84.940669
  ref_lead1_global_heart_rate_min                    : 72.463768
  ref_lead1_global_heart_rate_std                    : 6.791507
  ref_lead1_global_max_heart_rate                    : 99.337748
  ref_lead1_global_mean_heart_rate                   : 84.940669
  ref_lead1_global_mean_rr_interval                  : 710.841530
  ref_lead1_global_min_heart_rate                    : 72.463768
  ref_lead1_global_nn_xx                             : 183.000000
  ref_lead1_global_pnn_xx                            : 100.000000
  ref_lead1_global_root_mean_square_of_successive_differences : 15.460691
  ref_lead1_global_sdnn                              : 56.038746
  ref_lead1_global_std_heart_rate                    : 6.791507
  ref_lead1_iqr                                      : 0.109263
  ref_lead1_iqr_rr                                   : 88.000000
  ref_lead1_kurtosis                                 : 7.083940
  ref_lead1_mav                                      : 0.114455
  ref_lead1_max                                      : 0.407780
  ref_lead1_max_hr                                   : 99.337748
  ref_lead1_mean                                     : 0.000195
  ref_lead1_mean_hr                                  : 84.940669
  ref_lead1_mean_hr_filtered                         : 84.940669
  ref_lead1_mean_rr                                  : 710.841530
  ref_lead1_meandist                                 : 18.496749
  ref_lead1_median                                   : -0.010375
  ref_lead1_median_hr                                : 82.872928
  ref_lead1_median_rr                                : 724.000000
  ref_lead1_min                                      : -1.000000
  ref_lead1_min_hr                                   : 72.463768
  ref_lead1_n_r_peaks_filtered                       : 184
  ref_lead1_n_r_peaks_raw                            : 184
  ref_lead1_p25                                      : -0.035353
  ref_lead1_p5                                       : -0.390556
  ref_lead1_p75                                      : 0.073910
  ref_lead1_p95                                      : 0.304011
  ref_lead1_peaks_rejected_pct                       : 0.000000
